@relation FightDataForLogisticRegression2

@attribute Winner {Red,Blue,Draw}
@attribute B_avg_BODY_landed numeric
@attribute B_avg_HEAD_landed numeric
@attribute B_avg_KD numeric
@attribute B_avg_LEG_landed numeric
@attribute B_avg_PASS numeric
@attribute B_avg_REV numeric
@attribute B_avg_SUB_ATT numeric
@attribute B_avg_TD_landed numeric
@attribute B_losses numeric
@attribute B_total_title_bouts numeric
@attribute B_win_by_Decision_Majority numeric
@attribute B_win_by_Decision_Split numeric
@attribute B_win_by_Decision_Unanimous numeric
@attribute B_win_by_KO/TKO numeric
@attribute B_win_by_Submission numeric
@attribute B_win_by_TKO_Doctor_Stoppage numeric
@attribute B_Reach_cms numeric
@attribute R_avg_BODY_landed numeric
@attribute R_avg_HEAD_landed numeric
@attribute R_avg_KD numeric
@attribute R_avg_LEG_landed numeric
@attribute R_avg_PASS numeric
@attribute R_avg_REV numeric
@attribute R_avg_SUB_ATT numeric
@attribute R_avg_TD_landed numeric
@attribute R_losses numeric
@attribute R_total_title_bouts numeric
@attribute R_win_by_Decision_Majority numeric
@attribute R_win_by_Decision_Split numeric
@attribute R_win_by_Decision_Unanimous numeric
@attribute R_win_by_KO/TKO numeric
@attribute R_win_by_Submission numeric
@attribute R_win_by_TKO_Doctor_Stoppage numeric
@attribute R_Reach_cms numeric
@attribute B_age numeric
@attribute R_age numeric

@data
Red,4.181818,16,0.181818,8.727273,0.636364,0.090909,0.363636,2.363636,6,0,0,1,2,1,1,0,182.88,2.214286,18,0.285714,3.571429,3,0.142857,0.5,2.285714,4,0,0,1,6,3,0,0,193.04,35,33
Blue,6.25,22.916667,0.333333,10.5,2.666667,0.083333,0.583333,2.583333,5,0,0,1,5,0,1,0,193.04,6.8,18,0.4,10,0.2,0.6,0.2,1,2,1,0,0,1,0,0,2,200.66,32,30
Blue,4.5,11,0,1.5,7,0,0.5,3.5,0,0,0,0,0,1,1,0,182.88,3.357143,13.5,0.285714,3.214286,1.071429,0.142857,0.785714,1.071429,5,0,0,1,2,4,2,0,187.96,27,39
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,177.8,31,23
Red,4.333333,9.666667,0,2.666667,2.666667,0.333333,2,0.666667,2,0,0,0,0,0,1,0,162.56,4.25,23.5,0,3.5,6.25,0,0.75,4,2,0,0,0,1,1,0,0,167.64,30,23
Red,7.909091,28.727273,0.272727,2.909091,0.909091,0.181818,0.727273,1.636364,3,3,0,0,2,0,6,0,170.18,12.647059,43.235294,0.117647,8.294118,2.352941,0.117647,0.470588,3.294118,5,7,0,0,7,3,2,0,172.72,36,33
Red,3.111111,21.444444,0.555556,1.555556,0.222222,0.111111,0.222222,0.333333,3,0,0,1,2,3,0,0,185.42,2.8,24,0.2,6,0.6,0.2,0.4,0,2,0,0,0,1,1,1,0,193.04,35,29
Red,10.4,38.6,0.4,6,0.4,0,0.4,0.4,2,0,0,0,1,1,1,0,195.58,7.857143,14.357143,0.142857,3.428571,0.642857,0.214286,0.357143,1.357143,6,0,0,1,3,4,0,0,182.88,27,37
Blue,9,30.777778,0.111111,6.111111,2.111111,0.111111,0.111111,2.333333,2,0,0,0,4,2,1,0,203.2,9.75,41.75,1,3.5,0,0,0.25,0.25,1,0,0,0,0,3,0,0,195.58,27,30
Red,10,63,3,4,3,0,0,1,0,0,0,1,0,0,0,0,175.26,4.333333,5.666667,0,4,0.333333,0.666667,1.333333,0,3,1,0,0,0,0,0,0,182.88,33,31
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,7.5,22,0,22,0,0,0,2,1,0,0,0,1,0,0,0,172.72,26,29
Blue,12,25,0,7.75,3.5,0.25,1,0.75,2,0,0,0,1,1,0,0,185.42,3,25.5,1,1.5,1,1,0,0,1,0,0,0,0,1,0,0,180.34,30,32
Blue,5,22,0,2,3,1,0,4,1,0,0,0,0,0,0,0,190.5,4.333333,6,0,8.666667,2.333333,0,1,2,1,1,0,1,1,0,0,0,180.34,31,25
Red,1.666667,24.666667,0,1,3,0,1.333333,2,2,1,0,0,1,0,0,0,187.96,2.5,34,0,15.5,1.5,0,0,2,1,0,0,1,0,0,0,0,180.34,26,27
Red,1.5,6.5,0,5,6.5,0,0,4.5,0,0,0,1,1,0,0,0,170.18,8,13,0,10,3,0,1,2,0,1,0,0,1,0,0,0,162.56,28,33
Blue,2,6.5,0.5,2.5,0,0,0,0.5,2,0,0,0,0,0,0,0,170.18,4,15,0,17,1,1,0,1,1,0,0,0,0,0,0,0,165.1,27,24
Blue,1,26,0,0,0,2,0,0,1,0,0,0,0,0,0,0,162.56,9,13,0,3,0,0,0,0,1,0,0,0,0,0,0,0,175.26,24,26
Red,2.111111,28.555556,0.666667,2,0.888889,0.111111,0.111111,0.777778,4,1,0,0,1,4,0,0,182.88,5.75,39.625,0.25,7.375,1.375,0,0,1.25,2,0,0,0,3,3,0,0,203.2,41,32
Blue,5,43.833333,0.833333,4.166667,0.5,0,0,0.5,2,1,0,0,2,2,0,0,185.42,8,25.181818,0.090909,8.727273,0.545455,0.090909,0,1.272727,3,0,0,1,6,1,0,0,187.96,24,27
Blue,15,40,0.666667,8.333333,0,0,0.666667,0,2,0,0,0,0,1,0,0,187.96,0.3,11.8,0.2,2.1,1.5,0,0.5,0.9,5,0,0,0,0,2,3,0,190.5,31,42
Blue,6,27.666667,0.333333,5.333333,0,0.666667,0.333333,0,0,0,0,0,2,0,1,0,193.04,3.5,34,0,5.5,2,0,1,2.5,0,0,0,0,0,0,2,0,185.42,28,20
Blue,10,43,0,2.5,0,0,0,0,1,0,0,0,0,1,0,0,190.5,10.571429,18.428571,0,2.428571,3.857143,0.285714,0.714286,2.285714,4,0,0,1,2,0,0,0,177.8,25,31
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,180.34,5.428571,13.857143,0.285714,7,1.571429,0,0.571429,1.142857,3,0,0,0,0,2,2,0,193.04,26,35
Blue,3.333333,27,0.333333,0.333333,0.333333,0,0,0,1,0,0,0,0,2,0,0,190.5,1,39,0,3,1,0,0.5,0.5,0,0,0,0,1,0,1,0,177.8,29,37
Red,1,3,0,0,0,1,1,2,1,0,0,0,0,0,0,0,157.48,6,45,0,18,0,0,0,0,1,0,0,0,0,0,0,0,162.56,32,26
Blue,10.666667,20.333333,0,5.666667,0.333333,0,0.666667,0.333333,2,1,0,0,0,0,1,0,193.04,2,9.5,0.25,2.75,1.25,0,0,1.5,2,0,0,0,0,2,0,0,185.42,25,35
Red,14,14,0,0,4,0,0,5,1,0,0,0,0,0,0,0,165.1,2,5,0,5,1,0,0,1,1,0,0,0,0,0,0,0,160.02,24,36
Blue,4,7,0,4,1,1,0,0,1,0,0,0,0,0,0,0,175.26,0.666667,7.333333,0,0.666667,1,0,0,0.666667,2,0,0,0,0,1,0,0,185.42,27,38
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,165.1,9.333333,43.666667,0,5.333333,2.666667,0,0,4.333333,2,0,0,1,0,0,0,0,165.1,26,29
Red,8,31.75,0.5,2.75,1,0,0,1,0,0,0,0,2,2,0,0,167.64,21.181818,27.363636,0.181818,16.636364,2.363636,0.181818,0.454545,3.727273,2,7,0,1,5,1,2,0,167.64,24,28
Red,24.222222,44.777778,0.111111,0.333333,0.555556,0.111111,0.555556,0.333333,4,0,0,1,2,2,0,0,190.5,8.5,22.333333,0.666667,3.75,0.75,0,0,0.5,5,4,0,1,3,3,0,0,185.42,35,36
Red,4.6,13.333333,0.133333,2.266667,2.133333,0.333333,0.6,1.933333,6,1,0,1,4,2,2,0,193.04,7.181818,37.090909,0.227273,5.5,0.681818,0.090909,0.227273,1.181818,7,1,0,1,5,9,0,0,190.5,31,36
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,180.34,10.125,31.5,0.375,10.125,0,0,0,0,3,0,0,0,3,2,0,0,172.72,28,29
Blue,25,79,0,16,0,0,0,0,0,0,0,0,1,0,0,0,177.8,9.5,18,0.125,6.875,1.125,0.5,0,1.25,3,0,0,3,2,0,0,0,172.72,23,35
Red,1.555556,10,0,0.555556,0.666667,0.222222,0.222222,1,5,0,0,0,1,1,1,1,177.8,4.3125,16.25,0.25,7.5,0.5625,0.125,0.125,0.4375,9,2,0,1,3,2,0,0,180.34,32,35
Red,33,79.5,0,32,0.5,0,0,0.5,1,0,0,0,1,0,0,0,170.18,5.25,20.5,0,11.5,1.25,0.5,0.75,0.75,1,1,0,1,2,0,0,0,172.72,29,30
Red,7,50,1,6,0,0,0,0,0,0,0,0,0,1,0,0,182.88,11,24,0,18,2.5,0,0,2,0,1,0,1,1,0,0,0,180.34,25,28
Red,12.5,42.5,0,4,3,0,1,3.5,1,0,0,0,1,0,0,0,182.88,10,26,0,2,2,0,0.5,2,1,1,0,0,0,0,1,0,177.8,26,26
Red,10.25,18.25,0.5,8.5,0,0,0,0,2,0,0,1,0,1,0,0,177.8,14.5,36.5,0,6,1.5,0,0,3,0,0,0,1,1,0,0,0,187.96,39,33
Blue,17,85,0,2,0,0,0,0,0,0,0,1,0,0,0,0,172.72,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,172.72,31,38
Red,3,13,0,0,4,0,1,1,0,0,0,0,0,0,1,0,162.56,2,44,0,9,2,0,0,1,1,0,0,0,0,0,0,0,160.02,27,29
Blue,4.5,4,0.5,2,0.25,0,0.75,0,1,0,0,0,0,1,2,0,195.58,8.105263,17.105263,0.684211,6.157895,2.105263,0.105263,0.421053,0.736842,5,5,0,1,6,6,1,0,187.96,30,36
Red,8.833333,25.25,0,14.083333,0.083333,0.083333,0.333333,0,6,0,0,2,2,0,1,1,193.04,3.75,14.5,0.25,2.75,3.5,0.25,1.25,1.75,0,0,0,0,1,1,2,0,182.88,28,35
Blue,14.545455,45.727273,0.545455,4.181818,0.454545,0,0.181818,0.090909,3,0,0,1,2,4,1,0,175.26,5.5,29.125,0.5,7,0.625,0,0.125,0.75,2,0,0,0,2,4,0,0,177.8,23,31
Blue,4,55,0,2,0,1,3,3,0,0,0,0,0,1,0,0,165.1,0,8,0,0,8,2,3,1,0,0,0,0,0,0,1,0,165.1,21,30
Blue,7.6,10.4,0.2,2.6,1.8,0,0.8,1.2,1,0,0,0,1,0,3,0,182.88,4.944444,16.333333,0.166667,4.944444,1.555556,0.166667,1.722222,1.333333,5,0,0,0,5,2,6,0,180.34,25,31
Red,2.75,39.5,0,1.5,3.5,0,0.25,4.25,1,0,0,0,2,1,0,0,193.04,2.666667,11.833333,0.166667,2.333333,0.833333,0,0.333333,0.833333,1,0,1,0,0,3,1,0,203.2,34,32
Blue,8,26.5,0.25,14.75,1,0,0,1,2,0,0,1,0,1,0,0,193.04,7.5,26.5,0,0.5,1.5,0,0,4.5,0,1,0,0,1,1,0,0,200.66,29,25
Blue,16.5,31,0,6.5,3.5,0,1.5,3.5,0,0,0,0,1,1,0,0,180.34,9.2,37.9,0.3,4.2,1.1,0,0.1,1.6,3,0,0,3,3,1,0,0,172.72,25,31
Blue,12.25,28.5,0.5,5.625,0.375,0.25,0.125,0.625,3,0,0,1,2,2,0,0,190.5,9,30.5,0,12.5,2.5,0,0,1.5,0,0,0,0,1,1,0,0,185.42,31,34
Red,5.6,34.4,0,1.8,4.8,0.2,1.2,4.2,2,0,0,0,1,0,2,0,180.34,4.571429,14.571429,0.285714,2.428571,1.571429,0,0.428571,1.857143,3,1,0,0,2,0,2,0,172.72,27,27
Blue,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,182.88,0,15,0.5,0,0.5,0.5,0,1,1,1,0,0,0,1,0,0,193.04,27,31
Blue,4.9,14.8,0.3,1.8,0.7,0,0.3,0.2,6,0,0,0,0,2,1,1,185.42,1.842105,8.157895,0.368421,3.105263,1.263158,0,0.526316,1,8,1,0,0,0,7,4,0,193.04,40,35
Red,1,9,0,3,0,0,0,0,0,0,0,0,0,1,0,0,198.12,6.25,13.5,0.25,13.25,0.25,0,0.25,0.75,1,0,0,0,0,1,0,2,200.66,32,35
Red,3,9,0,1,1,0,0,2,1,1,0,0,0,0,0,0,180.34,2,11,0,8,0,0,0,0,1,0,0,0,0,0,0,0,185.42,30,26
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,170.18,27,41,0,41,3,0,0,2,0,0,0,0,1,0,0,0,165.1,23,29
Blue,8,25,0,0,1,2,0,0,1,0,0,0,0,0,0,0,187.96,7,20.6,0.2,3.4,0.4,0,0.5,0.6,5,0,0,1,1,1,2,0,187.96,23,33
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,190.5,32,28
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,3,16.666667,0,2.666667,1.666667,0,0.666667,1.666667,1,1,0,0,0,0,2,0,182.88,27,32
Blue,3.5,7.75,0,4,0.75,0.5,1,0.75,3,0,0,0,0,0,1,0,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,177.8,34,25
Blue,18,3,0,1.666667,1,0,0,1.666667,2,0,0,0,0,1,0,0,193.04,5.5,13.5,0.5,10.5,0.5,0,0.5,1,1,0,0,0,0,1,0,0,187.96,34,32
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,160.02,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,?,24,23
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,177.8,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,177.8,25,25
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,28,23
Red,7.142857,10.428571,0.285714,8.285714,0.714286,0.428571,1,1.142857,1,1,0,0,2,2,2,0,180.34,2.888889,19.111111,0.444444,8.333333,0.444444,0,0.222222,2.222222,2,2,0,0,3,4,0,0,167.64,32,29
Blue,8.75,38.75,0.625,4.75,0.75,0,0.375,1,2,1,0,0,3,3,0,0,177.8,13.666667,31.166667,0.166667,5.333333,1.833333,0.166667,0.666667,2,1,0,0,0,4,0,1,0,187.96,27,30
Red,2.25,8.75,0,7,0.5,0.5,0.5,0.75,2,0,0,0,1,0,1,0,185.42,3.833333,9.833333,0.166667,2,1.5,0.166667,0.833333,1.333333,2,1,0,0,1,0,3,0,190.5,29,27
Red,5,6,0,0,2,0,0,2,0,0,0,1,0,0,0,0,154.94,1,32,0,0,4,0,0,2,0,1,0,0,0,1,0,0,175.26,25,25
Red,9.857143,15.428571,0.571429,14.428571,0.285714,0.142857,0,0.571429,3,0,0,1,1,2,0,0,180.34,3.85,17.6,0.2,7,2.05,0.05,0.65,2.7,9,0,0,3,3,1,4,0,177.8,29,33
Red,5.666667,10.666667,0.333333,1.333333,0.333333,0.333333,1,0.333333,1,0,0,0,0,1,1,0,187.96,4.545455,31.181818,0.363636,8.272727,0.818182,0.272727,0.727273,1,3,0,0,0,3,2,3,0,182.88,30,26
Red,1,41,0,6,0,0,0,0,1,0,0,0,0,0,0,0,170.18,2.75,18.5,0,7.5,2.5,0,0.5,2.25,3,1,0,0,0,1,0,0,167.64,31,31
Blue,6,16,0,11,0.5,0.5,0,0.5,2,0,0,0,0,0,0,0,187.96,4.933333,20.933333,0.4,0.866667,2,0.2,0.6,2.266667,6,2,0,3,5,1,0,0,177.8,30,35
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,195.58,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,193.04,30,33
Red,9,12,0,7,0,0,1,0,1,0,0,0,0,0,0,0,198.12,3,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,190.5,27,32
Red,21.75,33.75,0.25,5.5,5,1,0.5,4.75,0,0,0,0,4,0,0,0,187.96,3.947368,15.157895,0.052632,1.789474,2.631579,0.157895,0.894737,2.263158,6,1,0,0,6,1,6,0,182.88,31,37
Red,3.333333,13.25,0.166667,1.083333,2,0.041667,0.291667,1.666667,9,1,0,1,5,6,3,0,185.42,4.333333,7.555556,0.222222,0.777778,0.555556,0,0.777778,0.333333,4,0,0,0,0,2,3,0,187.96,37,30
Red,2.666667,9,0,6,2,0,1.333333,1,2,0,0,0,0,0,1,0,185.42,6,17.666667,0,4.333333,2.666667,0,0.333333,1,1,1,0,0,1,0,1,0,190.5,25,35
Red,0,8,0,0,0,0,1,1,1,0,0,0,0,0,0,0,170.18,0.666667,14,0,0.666667,1.333333,0,0,1.333333,1,0,0,0,0,2,0,0,175.26,34,26
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,193.04,8,15.5,0,2,2.5,0,1,1.5,0,0,0,0,1,0,1,0,180.34,27,28
Red,11,28.666667,0,7.333333,1.333333,0.666667,0.333333,3,1,0,0,0,1,1,0,0,187.96,2,8.833333,0.166667,3.833333,0.666667,0.5,0.5,0.166667,3,1,0,1,0,1,1,0,185.42,24,27
Red,9,8.5,0.5,3.5,2,0,0.5,1.5,1,0,0,0,0,0,1,0,180.34,9,12.625,0.25,4.5,1,0.125,0.625,0.625,3,0,0,1,1,1,2,0,177.8,32,36
Red,4,17.666667,0,4,3,0.333333,0.333333,1.333333,1,0,0,0,1,0,1,0,167.64,16,49,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0,187.96,33,30
Draw,8,22.666667,0,7.666667,1,0,0.333333,0,2,0,0,0,0,0,1,0,177.8,5,12,0,9.666667,2,0,0.666667,1.666667,2,0,0,0,0,0,1,0,182.88,26,29
Red,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,187.96,5,12,0,5,0,0,0.5,0,2,0,0,0,0,0,0,0,177.8,28,25
Blue,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,180.34,8,10,0,5,0,0,0,0,1,0,0,0,0,0,0,0,180.34,25,35
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,165.1,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,35,32
Blue,5.352941,19.117647,0.294118,8.705882,1.705882,0.058824,0.705882,1.764706,5,0,0,0,7,3,2,0,177.8,2.333333,11.833333,0.333333,2.666667,0.833333,0.166667,0.5,1,1,2,0,1,0,2,2,0,182.88,30,28
Blue,19.5,22,0.5,0.5,0,0,0,0,0,0,0,1,1,0,0,0,165.1,6,36,0,0,6,0,1,5,0,1,0,0,0,0,1,0,160.02,27,27
Red,10.666667,22.888889,0.388889,4,0.833333,0.166667,1.222222,1.222222,6,0,0,0,2,9,1,0,190.5,3.928571,32.071429,0.428571,11.571429,0.857143,0,0.428571,3.214286,3,3,1,2,3,5,0,0,175.26,34,31
Blue,14,18.5,0.666667,2.5,0.333333,0,0,0.333333,3,0,0,0,1,2,0,0,203.2,1.461538,15.615385,0.538462,1.538462,0.384615,0,0.076923,0.307692,6,1,0,0,0,7,0,0,182.88,34,38
Blue,24,43,1,5,0,0,0,0,0,0,0,0,1,0,0,0,162.56,13.545455,28.636364,0,6.181818,1.454545,0.090909,0.545455,0.909091,4,1,0,2,4,1,0,0,160.02,28,33
Red,15.5,25.611111,0.166667,12.777778,0.5,0.055556,0.111111,0.555556,9,0,0,3,5,1,0,0,177.8,10.214286,26.571429,0.357143,6.071429,0.214286,0.071429,0,0.714286,6,1,0,0,4,3,0,1,175.26,30,30
Red,5,17.5,0.5,3,1,0,1,0,1,0,0,1,0,0,0,0,200.66,15.5,37.5,0,5,2.5,0,0,3,0,1,0,0,1,1,0,0,190.5,31,26
Blue,6.75,9.75,0.25,2.5,1.25,0,0.5,1.25,1,0,0,0,1,0,2,0,182.88,8.9,18.5,0.5,5.2,0.6,0.2,0.2,1.5,4,0,0,1,2,3,0,0,182.88,25,29
Red,6,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,190.5,8.75,17.5,0,6,2.5,0,0,1.25,1,0,0,0,3,0,0,0,190.5,32,28
Blue,1,15,0,2,2,2,1,0,1,0,0,0,0,0,0,0,172.72,9.25,46.75,0,9.5,1.25,0.25,1.25,0.75,1,0,0,0,3,0,0,0,175.26,25,21
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,16,9.5,0,11,0.5,0,0,0.5,2,0,0,0,0,0,0,0,180.34,27,28
Blue,12,4.5,0,9,0,0,0,0,1,0,0,1,0,0,0,0,180.34,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,175.26,30,20
Red,7.5,27,0,3,4.5,1,2,2,0,0,0,0,0,2,0,0,172.72,4.25,11.75,0.25,2.75,1.75,0,1,2,0,4,0,0,0,2,2,0,172.72,32,28
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,175.26,11.666667,37,0,7,0.666667,0,1.333333,1.333333,1,0,0,0,1,0,1,0,170.18,33,26
Red,3.391304,13.608696,0.173913,1.130435,2.086957,0.043478,0.304348,1.695652,8,1,0,1,5,6,3,0,185.42,4.153846,16.692308,0.615385,2.307692,0.384615,0.230769,0.230769,1.692308,5,0,0,1,2,4,0,1,180.34,37,29
Red,12.5,40.5,1,12,1,0,0,2.5,1,0,0,0,1,0,0,0,185.42,9.5,34.5,0.5,8,0,0,0,0,1,0,0,0,0,1,0,0,185.42,26,33
Red,3.541667,18.375,0.083333,1.666667,2.541667,0.041667,0.666667,3.416667,8,0,0,5,6,1,4,0,180.34,3.75,20.25,0.25,6.5,0.375,0.125,0.625,0.625,1,1,0,1,1,2,2,1,193.04,31,31
Blue,1.8,12.4,0,1.8,3.6,0.2,1.6,3.2,3,0,0,0,1,1,0,0,187.96,8.461538,15.461538,0.153846,3.692308,0.692308,0.230769,0.384615,1.461538,5,0,0,1,3,4,0,0,182.88,36,37
Draw,3.666667,12.666667,0,1,0,0.333333,0,0.666667,3,0,0,0,0,0,0,0,167.64,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,170.18,37,27
Blue,13.285714,30.285714,0.285714,6.142857,0.428571,0.285714,0.142857,0.714286,3,0,0,1,2,1,0,0,190.5,2.5,34,0,1,4.5,0,2,3,1,1,0,0,1,0,0,0,187.96,31,26
Red,0.5,3.5,0,1,0,0.5,1,0,2,0,0,0,0,0,0,0,190.5,0.666667,9,0,0,0.666667,0,0,0.666667,1,0,0,0,0,2,0,0,200.66,37,30
Blue,15,64,0,12,1,0,0,4,1,0,0,0,0,0,0,0,185.42,7,34.5,0,8,0.25,0.5,0.25,0.25,2,0,0,0,0,1,1,0,185.42,29,28
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,177.8,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,177.8,26,28
Blue,4.086957,6.086957,0.26087,2.347826,1,0.043478,0.913043,0.869565,9,5,0,0,2,3,8,0,200.66,3.833333,14.833333,0.5,4.833333,0.5,0,0,0,4,1,0,0,0,2,0,0,203.2,35,35
Blue,8.090909,22.818182,0.727273,7.727273,0,0.181818,0,0.454545,4,1,0,0,4,3,0,0,185.42,8.909091,15.636364,0.727273,12.909091,0.181818,0,0.090909,0.363636,2,0,1,1,2,5,0,0,190.5,28,29
Blue,5,38.5,0,0.5,0.5,0,0,0,1,0,0,0,0,1,0,0,190.5,5.6,9.8,0.4,1.2,1.2,0,0.2,1,1,1,0,1,2,0,1,0,198.12,28,30
Blue,1,10.333333,0.333333,1.333333,1,0,0.333333,0.333333,1,0,0,0,0,1,1,0,182.88,2.75,13,0.25,0.75,0.25,0,0.25,3.5,1,0,0,0,1,1,0,1,185.42,32,28
Blue,9,31,0,27,2,0,0,5,0,0,0,0,1,0,0,0,167.64,6.222222,17.666667,0.222222,0.777778,3.222222,0.111111,0.555556,1.333333,3,0,0,1,3,2,0,0,180.34,34,34
Red,1.5,26,0,6.5,1.5,0,0.5,1,0,0,0,1,0,0,1,0,193.04,2.5,12.5,1,2.5,0,0,0,0,1,0,0,0,0,1,0,0,185.42,23,28
Blue,10,64,0,11,0,0,0,0,0,0,0,0,1,0,0,0,172.72,11.25,60.75,0,3.25,2.5,0,0.75,1.5,1,0,0,1,1,0,1,0,157.48,37,23
Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,193.04,11.666667,41.666667,0,10.666667,0,0,0,1.666667,2,1,0,0,1,0,0,0,190.5,25,23
Blue,7.5,23.5,0,0.5,0,0,0,0.5,2,0,0,0,0,0,0,0,180.34,8,20,0,34,0,0,0,0,0,0,0,0,1,0,0,0,177.8,28,27
Red,6.333333,15.333333,0.666667,1.666667,1,0,0.333333,1.666667,2,0,0,0,0,1,0,0,180.34,4,13,0,10,0,0,0,0,1,0,0,0,0,0,0,0,172.72,27,29
Red,3,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,187.96,25.5,25,0,15.5,0,0.5,0.5,1,1,0,0,0,1,0,0,0,185.42,25,34
Red,4.5,10,1.5,0,0,0,0,0.5,0,0,0,0,0,2,0,0,187.96,17.083333,24.5,0.25,15.333333,1.416667,0.083333,0.75,2.166667,3,5,0,3,5,0,1,0,177.8,29,31
Red,4.875,22.3125,0.25,3.5625,1.5,0.5,1.4375,0.3125,6,0,0,0,2,1,7,0,187.96,14.7,46.3,0.6,4.2,0.5,0,0.2,0,3,0,0,1,1,4,1,0,175.26,30,23
Red,4.666667,8.666667,0,4.333333,1.333333,0,0.333333,0.666667,0,0,0,1,0,0,1,0,180.34,7.375,28.125,0.125,6.625,2.125,0.125,0,2.25,2,0,0,0,4,2,0,0,203.2,33,27
Red,0,11,0,0,7,0,3,5,0,0,0,0,1,0,0,0,180.34,1,19,0,5,2,0,1,1,0,0,0,0,0,0,1,0,177.8,26,37
Blue,14.333333,39.333333,0,0.333333,2.333333,0.333333,0.666667,3,1,0,0,1,1,0,0,0,195.58,3,19,0.333333,6,5,0,0,4.333333,1,0,0,1,1,0,0,0,170.18,22,33
Red,15,30,0,5,5,0,1,2,0,0,0,0,1,0,0,0,172.72,1.5,5,0,0.5,1.5,0.5,2,3,1,0,0,0,0,0,1,0,160.02,33,21
Red,1,0,0,4,3,1,2,1,1,0,0,0,0,0,0,0,190.5,4.25,17.875,0.5,8.625,0.875,0.125,0.875,1,5,1,0,0,2,1,0,0,177.8,23,29
Red,5,20,1,11,0,0,0,2,0,0,0,1,0,0,0,0,180.34,0.333333,10.333333,0,0.666667,4.333333,1,2.666667,1.666667,1,0,0,0,1,0,1,0,182.88,28,29
Red,10.4,40.8,0.2,7.8,3,0,1.4,3.6,3,0,0,0,2,0,0,0,167.64,3,20,0,5.333333,2.333333,0.666667,0.333333,4,1,0,0,0,2,0,0,0,162.56,28,31
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,4,31,1,0,1,0,0,0,1,0,0,0,0,0,0,0,180.34,24,26
Draw,12.692308,34.769231,0.230769,2.153846,0.692308,0.307692,1,1.076923,6,2,0,0,1,4,2,0,193.04,5.888889,15.277778,0.944444,6.444444,0.166667,0.055556,0.333333,0.166667,2,13,0,0,2,11,3,0,195.58,31,39
Red,7.6,24.2,0.2,5.6,2,0.6,0.4,1.2,0,1,0,2,1,0,2,0,180.34,9.666667,11.666667,0.833333,3.666667,0,0,0,0.5,2,0,0,0,0,4,0,0,187.96,23,32
Blue,8.714286,38,0.571429,4.571429,0.857143,0,0.428571,1,2,1,0,0,3,2,0,0,177.8,1.823529,15.411765,0.117647,0.411765,3,0.470588,1.529412,1.352941,6,0,0,0,1,2,7,1,180.34,27,30
Red,7.6,16.066667,0.333333,5.133333,0.733333,0.133333,0.733333,1.266667,6,0,0,2,3,4,0,0,187.96,1.75,16.666667,0.333333,3,4,0,1.083333,1.916667,3,1,0,1,3,2,3,0,198.12,34,33
