@relation FightDataForLogisticRegression2

@attribute Winner {Red,Blue,Draw}
@attribute B_avg_BODY_landed numeric
@attribute B_avg_HEAD_landed numeric
@attribute B_avg_KD numeric
@attribute B_avg_LEG_landed numeric
@attribute B_avg_PASS numeric
@attribute B_avg_REV numeric
@attribute B_avg_SUB_ATT numeric
@attribute B_avg_TD_landed numeric
@attribute B_losses numeric
@attribute B_total_title_bouts numeric
@attribute B_win_by_Decision_Majority numeric
@attribute B_win_by_Decision_Split numeric
@attribute B_win_by_Decision_Unanimous numeric
@attribute B_win_by_KO/TKO numeric
@attribute B_win_by_Submission numeric
@attribute B_win_by_TKO_Doctor_Stoppage numeric
@attribute B_Reach_cms numeric
@attribute R_avg_BODY_landed numeric
@attribute R_avg_HEAD_landed numeric
@attribute R_avg_KD numeric
@attribute R_avg_LEG_landed numeric
@attribute R_avg_PASS numeric
@attribute R_avg_REV numeric
@attribute R_avg_SUB_ATT numeric
@attribute R_avg_TD_landed numeric
@attribute R_losses numeric
@attribute R_total_title_bouts numeric
@attribute R_win_by_Decision_Majority numeric
@attribute R_win_by_Decision_Split numeric
@attribute R_win_by_Decision_Unanimous numeric
@attribute R_win_by_KO/TKO numeric
@attribute R_win_by_Submission numeric
@attribute R_win_by_TKO_Doctor_Stoppage numeric
@attribute R_Reach_cms numeric
@attribute B_age numeric
@attribute R_age numeric

@data
Blue,23,39,0,15,0,0,0,0,1,0,0,0,0,0,0,0,172.72,6,12,0,2,0,0,0,0,1,0,0,0,0,0,0,0,180.34,25,28
Red,8,74,0,4,4,0,0,2,0,0,0,0,0,1,0,0,203.2,1.666667,24,0.333333,1,0.666667,0,0,1.333333,1,0,0,0,2,0,0,0,190.5,27,32
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,170.18,7.142857,18.142857,0.285714,3.285714,0.571429,0.142857,1.142857,0.857143,3,0,0,0,1,0,3,0,165.1,30,34
Blue,3.875,20.875,0,6.125,2,0,0.375,1,2,0,0,0,1,3,2,0,195.58,6.916667,18,0.25,1.916667,2.25,0.166667,0.666667,1.083333,3,0,0,0,1,4,4,0,182.88,30,39
Red,3.5,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,187.96,5,21,0,3,0,0,0,0,1,0,0,0,0,0,0,0,203.2,36,30
Blue,6.444444,25.777778,0.777778,8.222222,1.111111,0,0,0.555556,4,0,0,1,0,4,0,0,180.34,6.857143,16.5,0.357143,3.5,1.357143,0.071429,0.5,1.857143,5,0,0,0,2,4,3,0,193.04,27,31
Red,10.2,28.6,0.2,3.8,0.6,0,0,1.2,2,0,0,0,1,2,0,0,190.5,3.875,26.375,0.25,0.1875,2.5,0.0625,0.5,1.3125,5,1,0,0,2,4,4,1,193.04,25,39
Blue,8.333333,40.333333,0.666667,5.666667,1.666667,0.333333,0.666667,0.666667,0,0,0,0,0,2,1,0,177.8,21.4,33.666667,0.8,5.2,0.266667,0.066667,0.466667,0.4,3,0,0,1,4,6,1,0,170.18,27,28
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,190.5,4,10,0,2,0,0,1,0,0,0,0,0,0,0,1,0,185.42,26,25
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,9.647059,13.411765,0.176471,2.117647,0.294118,0,0.529412,0.117647,8,0,0,1,2,3,3,0,195.58,28,36
Blue,21,81,0,9,1,0,0,1,0,0,0,0,0,1,0,0,195.58,4.571429,15.25,0.357143,6.928571,0.214286,0.035714,0.178571,0.321429,12,5,0,1,4,9,2,0,195.58,27,40
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,162.56,4.714286,20.714286,0,3.571429,2.142857,0.285714,0.428571,2.714286,4,2,0,0,2,0,1,0,160.02,30,31
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,7.7,19.6,0.3,4.4,1.6,0,0.5,1.6,3,0,0,0,2,2,3,0,180.34,26,32
Red,2.333333,8.666667,0,1,0,0,0.333333,0,2,0,0,0,0,0,1,0,187.96,6.032258,16.903226,0.096774,5.645161,1.387097,0.16129,1.290323,1.16129,13,0,0,2,6,3,7,0,180.34,29,35
Red,22,45.5,0,5.5,0,0,0,0,2,0,0,0,0,0,0,0,162.56,16.555556,41.111111,0.222222,11.888889,0.111111,0.111111,0,0.333333,6,0,0,0,3,0,0,0,162.56,32,34
